ZipCode,CombinedRate,State,,
6607,0.0635,CT,,
6608,0.0635,CT,,
6610,0.0635,CT,,
6611,0.0635,CT,,
6612,0.0635,CT,,
6614,0.0635,CT,,
6615,0.0635,CT,,
6650,0.0635,CT,,
6673,0.0635,CT,,
6699,0.0635,CT,,
6701,0.0635,CT,,
6702,0.0635,CT,,
6703,0.0635,CT,,
6704,0.0635,CT,,
6705,0.0635,CT,,
6706,0.0635,CT,,
6708,0.0635,CT,,
6710,0.0635,CT,,
6712,0.0635,CT,,
6716,0.0635,CT,,
6720,0.0635,CT,,
6721,0.0635,CT,,
6722,0.0635,CT,,
6723,0.0635,CT,,
6724,0.0635,CT,,
6725,0.0635,CT,,
6726,0.0635,CT,,
6749,0.0635,CT,,
6750,0.0635,CT,,
6751,0.0635,CT,,
6752,0.0635,CT,,
6753,0.0635,CT,,
6754,0.0635,CT,,
6755,0.0635,CT,,
6756,0.0635,CT,,
6757,0.0635,CT,,
6758,0.0635,CT,,
6759,0.0635,CT,,
6762,0.0635,CT,,
6763,0.0635,CT,,
6770,0.0635,CT,,
6776,0.0635,CT,,
6777,0.0635,CT,,
6778,0.0635,CT,,
6779,0.0635,CT,,
6781,0.0635,CT,,
6782,0.0635,CT,,
6783,0.0635,CT,,
6784,0.0635,CT,,
6785,0.0635,CT,,
6786,0.0635,CT,,
6787,0.0635,CT,,
6790,0.0635,CT,,
6791,0.0635,CT,,
6792,0.0635,CT,,
6793,0.0635,CT,,
6794,0.0635,CT,,
6795,0.0635,CT,,
6796,0.0635,CT,,
6798,0.0635,CT,,
6801,0.0635,CT,,
6804,0.0635,CT,,
6807,0.0635,CT,,
6810,0.0635,CT,,
6811,0.0635,CT,,
6812,0.0635,CT,,
6813,0.0635,CT,,
6814,0.0635,CT,,
6816,0.0635,CT,,
6817,0.0635,CT,,
6820,0.0635,CT,,
6824,0.0635,CT,,
6825,0.0635,CT,,
6828,0.0635,CT,,
6829,0.0635,CT,,
6830,0.0635,CT,,
6831,0.0635,CT,,
6836,0.0635,CT,,
6838,0.0635,CT,,
6840,0.0635,CT,,
6850,0.0635,CT,,
6851,0.0635,CT,,
6852,0.0635,CT,,
6853,0.0635,CT,,
6854,0.0635,CT,,
6855,0.0635,CT,,
6856,0.0635,CT,,
6857,0.0635,CT,,
6858,0.0635,CT,,
6860,0.0635,CT,,
6870,0.0635,CT,,
6875,0.0635,CT,,
6876,0.0635,CT,,
6877,0.0635,CT,,
6878,0.0635,CT,,
6879,0.0635,CT,,
6880,0.0635,CT,,
6881,0.0635,CT,,
6883,0.0635,CT,,
6888,0.0635,CT,,
6889,0.0635,CT,,
6890,0.0635,CT,,
6896,0.0635,CT,,
6897,0.0635,CT,,
6901,0.0635,CT,,
6902,0.0635,CT,,
6903,0.0635,CT,,
6904,0.0635,CT,,
6905,0.0635,CT,,
6906,0.0635,CT,,
6907,0.0635,CT,,
6910,0.0635,CT,,
6911,0.0635,CT,,
6912,0.0635,CT,,
6913,0.0635,CT,,
6914,0.0635,CT,,
6920,0.0635,CT,,
6921,0.0635,CT,,
6922,0.0635,CT,,
6925,0.0635,CT,,
6926,0.0635,CT,,
6927,0.0635,CT,,
32003,0.07,FL,,
32004,0.06,FL,,
32006,0.07,FL,,
32007,0.07,FL,,
32008,0.07,FL,,
32009,0.07,FL,,
32011,0.07,FL,,
32013,0.07,FL,,
32024,0.07,FL,,
32025,0.07,FL,,
32030,0.07,FL,,
32033,0.06,FL,,
32034,0.07,FL,,
32035,0.07,FL,,
32038,0.07,FL,,
32040,0.07,FL,,
32041,0.07,FL,,
32042,0.07,FL,,
32043,0.07,FL,,
32044,0.07,FL,,
32046,0.07,FL,,
32050,0.07,FL,,
32052,0.07,FL,,
32053,0.07,FL,,
32054,0.07,FL,,
32055,0.07,FL,,
32056,0.07,FL,,
32058,0.07,FL,,
32059,0.075,FL,,
32060,0.07,FL,,
